Feature set 1;Feature set 2;Feature set 3;Feature set 4;Feature set 5
lspFreq_sma_de.1._skewness;F0_sma_de_skewness;mfcc_sma_de.7._iqr2.3;lspFreq_sma.7._max;voiceProb_sma_iqr2.3
mfcc_sma.3._iqr1.3;mfcc_sma_de.9._iqr2.3;mfcc_sma.4._linregerrA;lspFreq_sma.6._stddev;mfcc_sma.1._quartile3
lspFreq_sma_de.4._quartile1;mfcc_sma_de.6._iqr1.3;lspFreq_sma.0._quartile3;mfcc_sma.2._maxPos;mfcc_sma_de.7._skewness
lspFreq_sma_de.6._iqr1.3;lspFreq_sma.5._max;mfcc_sma_de.5._quartile1;mfcc_sma.9._quartile1;mfcc_sma.9._min
lspFreq_sma.6._iqr2.3;lspFreq_sma.6._quartile3;lspFreq_sma_de.0._min;mfcc_sma.11._minPos;mfcc_sma_de.12._quartile3
mfcc_sma.10._quartile3;lspFreq_sma_de.1._quartile1;mfcc_sma_de.8._iqr1.2;lspFreq_sma.5._maxPos;mfcc_sma_de.9._minPos
mfcc_sma.4._max;mfcc_sma_de.5._quartile1;mfcc_sma.3._iqr1.3;lspFreq_sma.7._linregerrA;F0env_sma_linregc2
mfcc_sma.5._linregc2;mfcc_sma.5._stddev;mfcc_sma_de.11._kurtosis;F0_sma_de_skewness;mfcc_sma.1._iqr1.3
voiceProb_sma_de_linregc2;pcm_zcr_sma_maxPos;lspFreq_sma_de.2._amean;lspFreq_sma_de.4._max;mfcc_sma_de.8._iqr1.2
lspFreq_sma_de.6._range;pcm_loudness_sma_minPos;lspFreq_sma.0._minPos;mfcc_sma_de.7._quartile2;lspFreq_sma.6._range
mfcc_sma.4._min;lspFreq_sma_de.5._quartile2;F0_sma_de_min;pcm_intensity_sma_minPos;mfcc_sma_de.8._quartile3
lspFreq_sma_de.1._minPos;lspFreq_sma.3._minPos;lspFreq_sma.7._range;lspFreq_sma.6._iqr2.3;lspFreq_sma.1._quartile3
mfcc_sma.8._range;mfcc_sma.4._quartile3;mfcc_sma.11._linregc2;mfcc_sma.7._linregc2;mfcc_sma_de.6._iqr2.3
pcm_intensity_sma_de_quartile1;lspFreq_sma.4._linregerrQ;mfcc_sma_de.2._quartile2;mfcc_sma_de.10._kurtosis;mfcc_sma.8._range
mfcc_sma.4._maxPos;lspFreq_sma_de.2._iqr1.2;lspFreq_sma.3._range;lspFreq_sma.5._kurtosis;mfcc_sma_de.11._kurtosis
pcm_loudness_sma_skewness;lspFreq_sma.6._range;lspFreq_sma.5._maxPos;lspFreq_sma.2._min;mfcc_sma_de.10._kurtosis
mfcc_sma_de.8._minPos;mfcc_sma_de.1._quartile2;mfcc_sma.7._max;mfcc_sma_de.6._minPos;F0env_sma_kurtosis
mfcc_sma_de.2._iqr1.3;lspFreq_sma.0._linregerrQ;mfcc_sma.11._minPos;lspFreq_sma.3._skewness;mfcc_sma_de.8._minPos
mfcc_sma_de.9._minPos;mfcc_sma.12._minPos;mfcc_sma.1._min;mfcc_sma.5._iqr1.2;F0env_sma_stddev
mfcc_sma.4._quartile3;mfcc_sma_de.2._maxPos;mfcc_sma.9._linregc1;pcm_loudness_sma_maxPos;lspFreq_sma_de.6._iqr1.2
mfcc_sma_de.11._minPos;pcm_loudness_sma_iqr2.3;mfcc_sma_de.12._iqr2.3;lspFreq_sma.4._min;lspFreq_sma.5._skewness
mfcc_sma_de.9._linregerrQ;F0env_sma_linregc2;mfcc_sma.2._linregc2;lspFreq_sma.1._minPos;mfcc_sma_de.2._quartile1
mfcc_sma_de.9._quartile2;mfcc_sma.12._kurtosis;mfcc_sma.12._kurtosis;pcm_zcr_sma_maxPos;lspFreq_sma_de.0._skewness
mfcc_sma.10._kurtosis;mfcc_sma_de.12._quartile2;mfcc_sma_de.10._kurtosis;F0env_sma_de_minPos;lspFreq_sma.3._iqr1.2
lspFreq_sma.5._iqr2.3;lspFreq_sma_de.4._quartile3;lspFreq_sma.6._range;mfcc_sma_de.3._kurtosis;lspFreq_sma_de.0._minPos
mfcc_sma.2._maxPos;lspFreq_sma_de.7._linregerrQ;mfcc_sma_de.10._iqr2.3;lspFreq_sma.0._minPos;F0_sma_linregc1
lspFreq_sma_de.0._iqr1.2;mfcc_sma.10._kurtosis;lspFreq_sma.3._skewness;pcm_loudness_sma_de_max;mfcc_sma_de.8._quartile2
mfcc_sma.2._linregc2;F0_sma_de_quartile2;F0env_sma_de_minPos;mfcc_sma.12._minPos;lspFreq_sma_de.0._quartile1
lspFreq_sma.4._iqr2.3;mfcc_sma_de.3._skewness;lspFreq_sma.0._range;lspFreq_sma.5._range;mfcc_sma.11._kurtosis
mfcc_sma_de.2._iqr2.3;voiceProb_sma_de_maxPos;mfcc_sma.4._quartile1;mfcc_sma_de.5._minPos;mfcc_sma.5._kurtosis
mfcc_sma_de.10._skewness;lspFreq_sma.5._iqr1.3;pcm_intensity_sma_kurtosis;mfcc_sma.11._iqr1.2;lspFreq_sma.4._stddev
lspFreq_sma.5._maxPos;mfcc_sma.9._max;mfcc_sma_de.8._minPos;mfcc_sma.3._iqr1.2;mfcc_sma_de.11._minPos
mfcc_sma.10._minPos;pcm_zcr_sma_de_kurtosis;mfcc_sma_de.5._min;mfcc_sma_de.2._skewness;voiceProb_sma_max
mfcc_sma_de.7._maxPos;F0env_sma_de_iqr1.2;lspFreq_sma_de.0._quartile1;pcm_intensity_sma_kurtosis;mfcc_sma_de.6._minPos
voiceProb_sma_amean;mfcc_sma_de.5._range;mfcc_sma_de.10._quartile1;mfcc_sma_de.4._minPos;pcm_intensity_sma_quartile2
mfcc_sma.12._range;mfcc_sma.6._max;mfcc_sma_de.10._skewness;mfcc_sma.10._minPos;mfcc_sma_de.7._kurtosis
lspFreq_sma.3._iqr1.3;mfcc_sma_de.6._quartile3;lspFreq_sma.3._minPos;mfcc_sma.4._linregc2;mfcc_sma_de.7._quartile2
lspFreq_sma.6._range;mfcc_sma_de.8._minPos;lspFreq_sma.1._quartile3;lspFreq_sma.7._min;lspFreq_sma_de.0._kurtosis
F0env_sma_iqr1.2;mfcc_sma_de.4._linregc2;mfcc_sma.3._iqr1.2;mfcc_sma_de.8._minPos;F0_sma_de_iqr1.2
lspFreq_sma.7._min;lspFreq_sma.4._stddev;mfcc_sma_de.10._linregc2;mfcc_sma.2._stddev;mfcc_sma.10._min
lspFreq_sma.4._iqr1.2;mfcc_sma.4._linregerrQ;mfcc_sma.6._kurtosis;F0env_sma_range;mfcc_sma.12._iqr1.2
mfcc_sma_de.4._kurtosis;lspFreq_sma.4._min;mfcc_sma.5._quartile3;lspFreq_sma.5._iqr1.2;lspFreq_sma_de.3._kurtosis
mfcc_sma.3._skewness;lspFreq_sma_de.7._quartile1;mfcc_sma_de.11._skewness;mfcc_sma.3._maxPos;mfcc_sma.4._max
mfcc_sma_de.5._iqr2.3;mfcc_sma.7._minPos;lspFreq_sma.3._iqr1.2;lspFreq_sma.3._range;mfcc_sma_de.11._maxPos
mfcc_sma_de.5._minPos;mfcc_sma.5._linregc2;mfcc_sma_de.6._range;mfcc_sma.8._skewness;lspFreq_sma_de.4._max
mfcc_sma_de.12._kurtosis;F0_sma_de_iqr1.3;lspFreq_sma_de.3._iqr1.2;mfcc_sma.10._min;lspFreq_sma.0._kurtosis
mfcc_sma.5._quartile3;mfcc_sma.12._stddev;mfcc_sma_de.2._min;mfcc_sma_de.6._quartile1;lspFreq_sma.5._iqr1.3
lspFreq_sma_de.0._skewness;lspFreq_sma_de.7._quartile2;mfcc_sma_de.5._kurtosis;mfcc_sma.6._stddev;voiceProb_sma_minPos
mfcc_sma.5._iqr1.2;mfcc_sma.8._quartile3;lspFreq_sma_de.3._min;voiceProb_sma_de_iqr2.3;mfcc_sma_de.9._quartile2
mfcc_sma_de.5._amean;mfcc_sma.3._kurtosis;lspFreq_sma_de.5._linregc2;mfcc_sma.9._linregerrQ;lspFreq_sma_de.6._maxPos
mfcc_sma_de.8._max;mfcc_sma_de.8._min;mfcc_sma_de.6._minPos;lspFreq_sma_de.0._minPos;mfcc_sma.11._stddev
lspFreq_sma.2._minPos;lspFreq_sma_de.6._maxPos;lspFreq_sma_de.4._max;mfcc_sma.4._maxPos;lspFreq_sma.1._min
lspFreq_sma.2._iqr2.3;mfcc_sma_de.12._kurtosis;mfcc_sma.5._stddev;lspFreq_sma.1._kurtosis;voiceProb_sma_de_iqr2.3
lspFreq_sma.4._minPos;mfcc_sma.2._iqr2.3;pcm_loudness_sma_de_kurtosis;mfcc_sma_de.7._amean;mfcc_sma_de.10._skewness
mfcc_sma_de.11._skewness;mfcc_sma.11._amean;lspFreq_sma.6._iqr1.2;mfcc_sma_de.10._min;mfcc_sma_de.12._skewness
lspFreq_sma_de.3._linregerrQ;mfcc_sma.5._min;;lspFreq_sma_de.0._iqr1.2;mfcc_sma.1._max
pcm_zcr_sma_minPos;lspFreq_sma.1._maxPos;;lspFreq_sma.4._stddev;lspFreq_sma.3._iqr2.3
mfcc_sma.12._skewness;mfcc_sma_de.4._amean;;mfcc_sma_de.11._maxPos;F0env_sma_iqr1.2
lspFreq_sma.4._max;pcm_zcr_sma_de_min;;mfcc_sma_de.3._quartile2;F0_sma_de_iqr1.3
mfcc_sma_de.6._min;lspFreq_sma_de.2._min;;mfcc_sma_de.6._kurtosis;mfcc_sma.3._skewness
pcm_loudness_sma_maxPos;mfcc_sma.6._stddev;;mfcc_sma.9._maxPos;lspFreq_sma_de.1._iqr2.3
mfcc_sma_de.2._linregc2;lspFreq_sma_de.0._min;;F0env_sma_maxPos;
